id,name,percent_general,percent_unitary,daily_courtesy,active,daily_maximum,daily_minimum,payers_minimum,applicable_in
a9359545-b739-450d-adbd-058d32af319f,day use - desconto,10,10,false,true,1,0,0,all
304897cc-e7a5-46d6-825b-793092f6c010,Junho 2024 - 15% + 5% para pagamento avista,20,0,false,true,99,2,2,all
1d428759-8686-4149-839c-733a856947a0,Proclamação da República: 15% + 5% OFF avista,20,0,false,true,99,2,2,all
36f85e66-fff8-4b69-b191-96e7e98e4b78,Natal: 15% + 5% para pagamento avista,20,0,false,true,99,4,2,all
225757e6-3ea8-4548-b552-dd19b2899f6d,Reveillon: 15% + 5% para pagamento avista,20,0,false,true,99,4,2,all
cf0272ec-1f5b-4bf3-baa1-862df383fef8,Luana - pacote especial,50,0,false,true,99,2,2,all
f6dba905-12cb-4089-9622-230049179053,Julho 2024 - Diária cortesia (pague 3 e fique 4),0,0,true,true,99,4,2,all
edba42a4-940a-4640-b4cd-1f81c1640dec,Julho FDS 2024: 10% + 5% para pagamento a vista,15,0,false,true,99,2,2,weekend
c8c97411-0847-45b6-9d07-026273d57447,Julho MDS 2024: 15% + 5% para pagamento a vista,20,0,false,true,99,2,2,all
59fdec2b-a180-4df4-a760-2b06bc3c8308,Julho 2024 - FDS - Diária cortesia (pague 2 e fique 3),0,0,true,true,3,3,2,weekend
59a942b0-f0e3-4e75-8845-2975ca7a5eec,18% + 5% pagamento a vista - Campeonato beach tennis - 2 open (Padrão ou padrão varanda - quarto duplo),18,0,false,true,4,1,2,all
5f59514f-2d49-4a70-b254-6451707e9745,30% + 5% pagamento a vista - Campeonato beach tennis - 2 open (Padrão - quarto comunitário),30,0,false,true,4,1,1,all
45c56abb-c58e-455a-93e9-7bbe45183c8e,22% + 5% pagamento a vista - Campeonato beach tennis - 2 open (Luxo - quarto duplo,22,0,false,true,4,1,1,all
5c8364c8-9034-4d6f-b4cf-bdc735afc416,Agosto 2024 - 15% + 5% pagamento a vista,20,0,false,true,7,2,2,all
97490492-27c1-4012-ad34-b27ddd165dc7,Setembro 2024: 15% + 5% pagamento a vista,20,0,false,true,7,2,2,all
d4401991-491c-4087-a352-c38b8a0f43f9,Novembro 2024: 15% + 5% pagamento a vista,20,0,false,true,7,2,2,all
91d411e2-8f02-4c73-aee4-56bd044fb743,Dezembro 2024: 15% + 5% pagamento a vista,20,0,false,true,7,2,2,all
4db3417e-438b-4b47-b713-6255cc72ce42,Ação dia dos pais - 50% off na diária do pai,0,50,false,true,7,2,2,all
